,,Honghuayuan,,Guanwu,,Fengxiangqiao,,Qinglongzui,,Miaolinwan West,,Bainidacun-Sanhuaicun,,Lanmaxiang South,,Lujiaozhen,,Yangliugou,,Miaolingwan Central,,Wangjiawan Riverside,,Gaojiabian,,Ludiping,,Xiaotan,,Fenxiang,,Guantangyuan,,Wangjiawan North,,Shichang,,Wangjiawan South,,,TaxonMixedID,FossilGroup
,,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,,NaN,Graptolite
43,Normalograptus normalis,11.34,15.48,1.33,1.43,0.55,0.8,,,5.95,15.74,,,,,,,0.36,1.36,1.43,1.63,8.53,10.71,,,,,,,0.12,0.67,0.6,1.8,,,,,0.35,2.18,,NaN,Graptolite
44,Metabolograptus extraordinarius,11.64,14.63,,,,,0,0.3,5.45,5.95,0,0.07,,,,,,,0.97,1.15,7.54,8.38,0.3,0.58,,,,,,,,,,,,,0,0.28,,NaN,Graptolite
45,Metabolograptus ojsuensis,11.64,14.63,,,,,0,0.3,,,0,0.07,,,,,0.3,0.36,,,7.37,8.38,0,0.58,,,,,,,,,,,,,0,0.28,,NaN,Graptolite
46,Metabolograptus extraordinarius variabilis,12.63,14.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
47,Normalograptus angustus,12.63,15.93,,,,,0.15,1.3,,,0.07,0.6,0.24,0.5,3.6,4.2,0.81,1.36,1.29,1.43,,,0,3.65,0.05,0.47,,,0,0.58,0,7.35,0,0.61,1.3,3.4,0.06,1,,NaN,Graptolite
48,Korenograptus lungmaensis,14.63,15.48,,,,,,,,,,,,,,,0.36,0.96,,,8,8.71,0.58,4.78,,,0,4.25,0,0.48,,,0,1.01,0,7.05,0,2.38,,NaN,Graptolite
49,Metabolograptus avitus,14.63,15.03,,,,,0.3,1.3,6.24,6.89,0.07,0.6,0.38,0.57,3.6,4.6,0.36,1.36,1.15,1.9,,,0.84,1.03,,,,,,,,,,,,,0,0.35,,NaN,Graptolite
50,Normalograptus gracilis,14.63,16.74,,,,,1.3,5.32,,,,,,,,,0.36,1.36,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
51,Akidograptus ascensus,15.03,15.48,,,,,,,,,0.07,0.6,,,,,,,,,8.38,8.71,1.38,2.47,0,1.5,0.1,0.85,0.12,0.67,0,7.35,0,0.37,1.3,5.4,0.35,1,,NaN,Graptolite
52,Atavograptus gracilis,15.03,15.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
53,Cystograptus vesiculosus,15.03,15.48,,,,,,,8.49,14.04,,,,,,,,,,,10.16,10.71,,,,,,,,,,,,,,,2.18,2.38,,NaN,Graptolite
54,Dimorphograptus malayensis,15.03,15.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
55,Korenograptus laciniosus,15.03,15.73,,,,,,,6.24,15.74,0.07,0.6,0.24,0.38,,,0.36,1.36,0.97,1.63,7.37,9.14,0,3.18,0,0.63,0.85,4.25,0.4,0.67,0.6,2.58,0,1.29,1.3,7.05,0,2.38,,NaN,Graptolite
56,Metabolograptus bicaudatus,15.03,15.28,,,,,,,,,,,,,,,,,1.43,1.63,,,2.02,2.2,0.36,0.47,,,0.12,0.4,0,6.15,0.11,0.5,0.7,1.3,0.35,1,,NaN,Graptolite
57,Normalograptus premedius,15.03,17,,,,,,,,,,,,,,,,,1.63,2.18,,,,,,,,,,,,,0,1.29,,,0.56,1.1,,NaN,Graptolite
58,Normalograptus rectangularis,15.03,16.74,1.33,1.43,,,,,5.95,15.74,,,,,4.6,4.85,,,1.63,1.9,8.53,10.71,,,,,,,0.4,0.48,,,,,,,0.35,2.38,,NaN,Graptolite
59,Normalograptus tortithecatus,15.03,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.38,,NaN,Graptolite
