Event_Name,Event_number,Type,Depth,FIX
Korenograptus jerini,Graptolite,1,14.83,0
Normalograptus targuii,Graptolite,1,15.0216208791209,0
Paramplexograptus kiliani,Graptolite,2,15.0632417582418,0
Atavograptus primitivus,Graptolite,1,14.93,0
Neodiplograptus charis,Graptolite,2,14.93,0
Paramplexograptus paucispinus,Graptolite,1,14.83,0
Normalograptus anjiensis,Graptolite,1,14.93,0
Paramplexograptus kiliani,Graptolite,1,14.93,0
Hirsutograptus jideliensis,Graptolite,1,14.93,0
Hirsutograptus jinyangensis,Graptolite,1,14.93,0
Hirsutograptus similaris,Graptolite,1,11.188515625,0
Normalograptus minor,Graptolite,2,14.93,0
Neodiplograptus shanchongensis,Graptolite,2,16.3075600175055,0
Metabolograptus daedalus,Graptolite,2,12.8042424242424,0
Metabolograptus persculptus,Graptolite,2,12.8042424242424,0
Normalograptus minor,Graptolite,1,12.8042424242424,0
Normalograptus ajjeri,Graptolite,1,5.12192064202496,0
Neodiplograptus charis,Graptolite,1,8.47884128404993,0
Neodiplograptus shanchongensis,Graptolite,1,3.53,0
Metabolograptus daedalus,Graptolite,1,3.53,0
Metabolograptus wangjiawanensis,Graptolite,1,3.53,0
Metabolograptus rhizimus,Graptolite,1,3.53,0
Hirsutograptus angustifolius,Graptolite,1,0,0
Metabolograptus guizhouensis,Graptolite,1,0,0
Metabolograptus persculptus,Graptolite,1,0,0
Metabolograptus parvulus,Graptolite,1,0,0
Agetograptus secundus,Graptolite,2,16.6175,0
Normalograptus sinuatus,Graptolite,2,16.6175,0
Agetograptus secundus,Graptolite,1,16.1686459298038,0
Normalograptus sinuatus,Graptolite,1,16.1686459298038,0
Dimorphograptus confertus nankingensis,Graptolite,2,16.551544388249,0
Dimorphograptus confertus nankingensis,Graptolite,1,15.1172596153846,0
Sudburigraptus angustifolius,Graptolite,2,15.875120035011,0
Sudburigraptus angustifolius,Graptolite,1,13.3069742063492,0
Parakidograptus praematurus,Graptolite,2,15.0784342805632,0
Parakidograptus praematurus,Graptolite,1,14.9883104395604,0
Metabolograptus rhizinus,Graptolite,2,14.6625,0
Metabolograptus rhizinus,Graptolite,1,14.63,0
Normalograptus trifilis,Graptolite,2,15.1552147572577,0
Neodiplograptus guantangyuanensis,Graptolite,2,15.0649298162775,0
Hirsutograptus tuberculatus,Graptolite,2,15.0649298162775,0
Korenograptus zhui,Graptolite,2,15.0649298162775,0
Hirsutograptus tuberculatus,Graptolite,1,15.0632417582418,0
Korenograptus zhui,Graptolite,1,15.0632417582418,0
Normalograptus trifilis,Graptolite,1,15.0632417582418,0
Neodiplograptus guantangyuanensis,Graptolite,1,13.8537625915751,0
Sudburigraptus robustus,Graptolite,2,16.6670449213973,0
Sudburigraptus robustus,Graptolite,1,15.4892831258398,0
Paraclimacograptus jinyangensis,Graptolite,2,15.4892831258398,0
Paraclimacograptus jinyangensis,Graptolite,1,14.1859520113133,0
Climacograptus hastatus vesicicaulis,Graptolite,2,11.4526196491883,0
Climacograptus hastatus vesicicaulis,Graptolite,1,11.0535174960556,0
Dictyonema cucurbitinum,Graptolite,2,15.9810861797481,0
Dictyonema cucurbitinum,Graptolite,1,15.4839296825385,0
Dimorphograptus longicaudatus,Graptolite,2,16.8335224606986,0
Rectograptus obesus,Graptolite,2,13.9584510867294,0
Dimorphograptus longicaudatus,Graptolite,1,13.9584510867294,0
Dicellograptus planus,Graptolite,2,11.4555208333333,0
Normalograptus acutus,Graptolite,2,11.4555208333333,0
Rectograptus obesus,Graptolite,1,2.92156993006993,0
Dicellograptus planus,Graptolite,1,10.439414710957,0
Normalograptus acutus,Graptolite,1,10.439414710957,0
Pararetiograptus uniformis,Graptolite,2,10.0594735078815,0
Pararetiograptus uniformis,Graptolite,1,6.53,0
Normalograptus wangjiawanensis,Graptolite,2,15.190304015755,0
Normalograptus wangjiawanensis,Graptolite,1,13.5134647130734,0
Climacograptus tubuliferus,Graptolite,2,13.1253763370155,0
Climacograptus tubuliferus,Graptolite,1,13.0817926856536,0
Paraorthograptus tenuis,Graptolite,2,8.90732309401795,0
Paraorthograptus tenuis,Graptolite,1,2.92156993006993,0
Normalograptus medius,Graptolite,2,16.3075600175055,0
Normalograptus subtilis,Graptolite,2,16.3075600175055,0
Normalograptus subtilis,Graptolite,1,15.3770720210066,0
Normalograptus medius,Graptolite,1,15.190304015755,0
Normalograptus lubricus,Graptolite,2,16.5525,0
Normalograptus lubricus,Graptolite,1,15.3772734375,0
Dicellograptus turgidus,Graptolite,2,5.6825741102949,0
Dicellograptus turgidus,Graptolite,1,0.42,0
